batch_time,teams,channel,status,page_url,match_url,screenshot_url
2025-03-28T21:58:12.855962,باير ليفركوزن VS بوخوم,beIN SPORTS 5 HD,Finished,https://kooora.live-kooora.com/,https://kooora.live-kooora.com/matches/%d8%a8%d8%a7%d9%8a%d8%b1-%d9%84%d9%8a%d9%81%d8%b1%d9%83%d9%88%d8%b2%d9%86-%d9%88-%d8%a8%d9%88%d8%ae%d9%88%d9%85-%d9%81%d9%8a-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a3%d9%84%d9%85%d8%a7/,باير_ليفركوزن_VS_بوخوم_20250328_215812.png
2025-03-28T21:58:13.831597,الزمالك VS سيراميكا كليوباترا,On Sport 1,Finished,https://kooora.live-kooora.com/,https://kooora.live-kooora.com/matches/%d8%a7%d9%84%d8%b2%d9%85%d8%a7%d9%84%d9%83-%d9%88-%d8%b3%d9%8a%d8%b1%d8%a7%d9%85%d9%8a%d9%83%d8%a7-%d9%83%d9%84%d9%8a%d9%88%d8%a8%d8%a7%d8%aa%d8%b1%d8%a7-%d9%81%d9%8a-%d9%83%d8%a3%d8%b3-%d9%85%d8%b5/,الزمالك_VS_سيراميكا_كليوباترا_20250328_215813.png
2025-03-28T21:58:14.542354,بيراميدز VS البنك الأهلي,On Sport 2,Finished,https://kooora.live-kooora.com/,https://kooora.live-kooora.com/matches/%d8%a8%d9%8a%d8%b1%d8%a7%d9%85%d9%8a%d8%af%d8%b2-%d9%88-%d8%a7%d9%84%d8%a8%d9%86%d9%83-%d8%a7%d9%84%d8%a3%d9%87%d9%84%d9%8a-%d9%81%d9%8a-%d9%83%d8%a3%d8%b3-%d9%85%d8%b5%d8%b1-2025-03-28/,بيراميدز_VS_البنك_الأهلي_20250328_215814.png
2025-03-28T21:58:15.126024,ستراسبورج VS أولمبيك ليون,beIN SPORTS 4 HD,Finished,https://kooora.live-kooora.com/,https://kooora.live-kooora.com/matches/%d8%b3%d8%aa%d8%b1%d8%a7%d8%b3%d8%a8%d9%88%d8%b1%d8%ac-%d9%88-%d8%a3%d9%88%d9%84%d9%85%d8%a8%d9%8a%d9%83-%d9%84%d9%8a%d9%88%d9%86-%d9%81%d9%8a-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%81/,ستراسبورج_VS_أولمبيك_ليون_20250328_215815.png
