batch_time,teams,channel,status,page_url,match_url,screenshot_url
2025-03-28T22:39:28.564121,فولام VS كريستال بالاس,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-28T22:39:29.473544,ريال سوسيداد VS ريال بلد الوليد,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-28T22:39:30.420797,فينيسيا VS بولونيا,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-28T22:39:31.073796,فولفسبورج VS هايدنهايم,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-28T22:39:31.742259,بوروسيا مونشنجلادباخ VS لايبزج,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-28T22:39:32.501460,بايرن ميونيخ VS سانت باولي,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-28T22:39:33.024473,إسبانيول VS أتليتكو مدريد,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-28T22:39:33.707905,ستاد ريمس VS أولمبيك مارسيليا,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-28T22:39:34.606554,يوفنتوس VS جنوى,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-28T22:39:35.225452,برايتون VS نوتينجهام فورست,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-28T22:39:35.891590,آينتراخت فرانكفورت VS شتوتجارت,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-28T22:39:36.544046,ديبورتيفو ألافيس VS رايو فايكانو,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-28T22:39:37.114641,سانت إيتيان VS باريس سان جيرمان,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-28T22:39:37.858606,ليتشي VS روما,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-28T22:39:38.603142,ريال مدريد VS ليجانيس,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-28T22:39:39.331587,موناكو VS نيس,غير معروف,Reported,https://kooora.live-kooora.com/,,
