batch_time,teams,channel,status,page_url,match_url,screenshot_url
2025-03-29T03:20:16.812411,فولام VS كريستال بالاس,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:20:17.588168,ريال سوسيداد VS ريال بلد الوليد,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:20:18.270571,فينيسيا VS بولونيا,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:20:19.215069,بوروسيا مونشنجلادباخ VS لايبزج,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:20:20.152689,بايرن ميونيخ VS سانت باولي,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:20:20.755145,فولفسبورج VS هايدنهايم,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:20:21.730809,إسبانيول VS أتليتكو مدريد,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:20:22.336211,ستاد ريمس VS أولمبيك مارسيليا,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:20:23.269429,يوفنتوس VS جنوى,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:20:23.956677,برايتون VS نوتينجهام فورست,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:20:24.737634,آينتراخت فرانكفورت VS شتوتجارت,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:20:25.311656,ديبورتيفو ألافيس VS رايو فايكانو,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:20:26.097254,سانت إيتيان VS باريس سان جيرمان,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:20:26.700157,ليتشي VS روما,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:20:27.548924,ريال مدريد VS ليجانيس,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:20:28.277628,موناكو VS نيس,غير معروف,Reported,https://kooora.live-kooora.com/,,
