batch_time,teams,channel,status,page_url,match_url,screenshot_url
2025-03-29T02:44:41.930273,فولام VS كريستال بالاس,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T02:44:42.937593,ريال سوسيداد VS ريال بلد الوليد,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T02:44:43.737556,فينيسيا VS بولونيا,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T02:44:44.540768,فولفسبورج VS هايدنهايم,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T02:44:45.157143,بوروسيا مونشنجلادباخ VS لايبزج,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T02:44:45.758802,بايرن ميونيخ VS سانت باولي,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T02:44:46.578087,إسبانيول VS أتليتكو مدريد,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T02:44:47.101061,ستاد ريمس VS أولمبيك مارسيليا,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T02:44:47.825442,يوفنتوس VS جنوى,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T02:44:48.379347,برايتون VS نوتينجهام فورست,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T02:44:49.137627,ديبورتيفو ألافيس VS رايو فايكانو,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T02:44:49.658604,آينتراخت فرانكفورت VS شتوتجارت,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T02:44:50.386762,سانت إيتيان VS باريس سان جيرمان,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T02:44:50.963920,ليتشي VS روما,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T02:44:51.859234,ريال مدريد VS ليجانيس,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T02:44:52.466732,موناكو VS نيس,غير معروف,Reported,https://kooora.live-kooora.com/,,
