batch_time,teams,channel,status,page_url,match_url,screenshot_url
2025-03-29T03:16:17.180498,فولام VS كريستال بالاس,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:16:18.144585,ريال سوسيداد VS ريال بلد الوليد,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:16:18.651916,فينيسيا VS بولونيا,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:16:19.399577,بوروسيا مونشنجلادباخ VS لايبزج,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:16:19.924799,بايرن ميونيخ VS سانت باولي,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:16:20.716897,فولفسبورج VS هايدنهايم,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:16:21.244077,إسبانيول VS أتليتكو مدريد,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:16:22.099009,ستاد ريمس VS أولمبيك مارسيليا,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:16:22.907781,يوفنتوس VS جنوى,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:16:23.683247,برايتون VS نوتينجهام فورست,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:16:24.476879,آينتراخت فرانكفورت VS شتوتجارت,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:16:25.036155,ديبورتيفو ألافيس VS رايو فايكانو,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:16:25.890031,سانت إيتيان VS باريس سان جيرمان,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:16:26.449408,ليتشي VS روما,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:16:27.236985,ريال مدريد VS ليجانيس,غير معروف,Reported,https://kooora.live-kooora.com/,,
2025-03-29T03:16:28.151542,موناكو VS نيس,غير معروف,Reported,https://kooora.live-kooora.com/,,
